# expected-ids: derived from test-catalogue.md 0.7; milestones 1A+1B; 118 ids; regenerate with tools/gen-expected-ids.py
# id milestones catalogue-section
D-01 1A 6.
D-02 1A 6.
D-03 1A 6.
D-04 1A 6.
D-05 1A 6.
D-06 1A 6.
D-07 1A 6.
D-08 1A 6.
D-09 1B 6.
D-10 1B 6.
D-11 1A 6.
D-12 1B 6.
D-13 1B 6.
D-15 1A 6.
D-16 1A/1B/1C 6.
T-6.1-001 1A 7.1
T-6.1-002 1A 7.1
T-6.1-003 1A 7.1
T-6.1-004 1A 7.1
T-6.1-005 1A 7.1
T-6.1-006 1A 7.1
T-6.1-007 1A 7.1
T-6.1-008 1A 7.1
T-6.1-009 1A 7.1
T-6.1-010 1A 7.1
T-6.1-011 1A 7.1
T-6.1-012 1A 7.1
T-6.1-013 1A 7.1
T-6.2-001 1A 7.2
T-6.2-002 1A 7.2
T-6.2-003 1A 7.2
T-6.2-004 1A 7.2
T-6.2-005 1A 7.2
T-6.2-006 1A 7.2
T-6.2-009 1A 7.2
T-6.2-007 1A 7.2
T-6.2-008 1A 7.2
T-6.3-001 1B 7.3
T-6.3-002 1B 7.3
T-6.3-003 1B 7.3
T-6.3-004 1B 7.3
T-6.3-005 1B 7.3
T-6.3-006 1B 7.3
T-6.3-007 1B 7.3
T-6.3-008 1B 7.3
T-6.4-001 1B 7.4
T-6.4-002 1B 7.4
T-6.4-003 1B 7.4
T-6.4-004 1B 7.4
T-6.4-005 1B 7.4
T-6.4-006 1B 7.4
T-6.4-007 1B 7.4
T-6.4-008 1B 7.4
T-6.4-009 1B 7.4
T-6.4-010 1B 7.4
T-6.4-011 1B 7.4
T-6.4-012 1B 7.4
T-6.4-013 1B 7.4
T-6.4-014 1B 7.4
T-6.5-001 1A 7.5
T-6.5-002 1A 7.5
T-6.5-003 1A 7.5
T-6.5-004 1A 7.5
T-6.5-005 1A 7.5
T-6.5-006 1A 7.5
T-6.5-007 1A 7.5
T-6.5-008 1A 7.5
T-6.5-009 1A 7.5
T-6.5-010 1A 7.5
T-6.6-001 1A 7.6
T-6.6-002 1A 7.6
T-6.6-003 1A 7.6
T-6.6-004 1A 7.6
T-6.6-005 1A 7.6
T-6.6-006 1A 7.6
T-6.6-007 1A 7.6
T-6.6-008 1A 7.6
T-6.7-001 1A 7.7
T-6.8-001 1A 7.8
T-6.8-002 1A 7.8
T-6.8-003 1A 7.8
T-6.8-004 1A 7.8
T-6.8-005 1A 7.8
T-6.8-006 1A 7.8
T-6.8-007 1A 7.8
T-6.8-008 1B 7.8
T-6.8-009 1B 7.8
T-6.8-011 1A 7.8
T-6.8-012 1A 7.8
T-6.8-013 1A 7.8
T-6.9-001 1A 7.9
T-6.9-002 1A 7.9
T-6.9-003 1A 7.9
T-6.9-004 1A 7.9
T-6.9-005 1B 7.9
T-6.9-006 1B 7.9
T-6.9-007 1A 7.9
T-6.9-008 1B/1C 7.9
F-C-01 1A 8.
F-C-02 1A 8.
F-C-03 1A 8.
F-C-04 1A 8.
F-C-05 1A 8.
F-C-06 1A 8.
F-C-07 1A 8.
F-C-08 1B 8.
F-C-09 1A 8.
F-T-01 1A/1B 8.
F-T-02 1A 8.
F-T-03 1A 8.
F-T-04 1A 8.
F-T-05 1A 8.
F-T-06 1B 8.
F-T-07 1B 8.
F-T-08 1A 8.
F-T-09 1B 8.
F-T-10 1A 8.
F-T-11 1A 8.
D4 1B ADR-0002
D7-8 1B ADR-0002
D7-9 1B ADR-0002
